,open,high,low,close,volume
2022-04-22 12:30:00-04:00,329.1700134277344,330.1300048828125,327.8900146484375,328.260009765625,6297568
2022-04-22 13:30:00-04:00,328.25,328.55999755859375,326.7300109863281,327.4700012207031,7715307
2022-04-22 14:30:00-04:00,327.4599914550781,328.1700134277344,325.79998779296875,327.2699890136719,10831200
2022-04-22 15:30:00-04:00,327.2300109863281,329.04998779296875,324.9599914550781,325.3500061035156,11771012
2022-04-22 16:00:00-04:00,325.4,334.2194,323.94,324.41,0
2022-04-22 17:00:00-04:00,324.44,334.95816,303.45807,324.58,0
2022-04-22 18:00:00-04:00,324.58,331.77,324.24,324.3,0
2022-04-22 19:00:00-04:00,324.29,324.4,324.04,324.23,0
2022-04-25 04:00:00-04:00,323.03,324.03,322.66,323.16,0
2022-04-25 05:00:00-04:00,323.12,323.59,321.89,322.18,0
2022-04-25 06:00:00-04:00,322.12,323.54,322.0,323.0,0
2022-04-25 07:00:00-04:00,323.0,323.03,321.2,321.67,0
2022-04-25 08:00:00-04:00,321.67,325.644,321.21,323.15,0
2022-04-25 09:00:00-04:00,323.2,325.4,322.88,324.25,0
2022-04-25 09:30:00-04:00,323.7300109863281,326.54998779296875,322.42999267578125,326.1600036621094,25620214
2022-04-25 10:30:00-04:00,326.17999267578125,328.010009765625,323.1499938964844,324.2200012207031,16898734
2022-04-25 11:30:00-04:00,324.2049865722656,325.8999938964844,322.510009765625,324.96600341796875,12005800
2022-04-25 12:30:00-04:00,324.9700012207031,326.57000732421875,324.1099853515625,325.9599914550781,12349607
2022-04-25 13:30:00-04:00,325.92999267578125,327.6000061035156,324.5199890136719,327.4800109863281,9154527
2022-04-25 14:30:00-04:00,327.4800109863281,328.6499938964844,325.1400146484375,328.2799987792969,11927371
2022-04-25 15:30:00-04:00,328.260009765625,329.8999938964844,327.8999938964844,329.6400146484375,9863941
2022-04-25 16:00:00-04:00,329.63,330.04,309.90866,329.54,0
2022-04-25 17:00:00-04:00,329.52,329.6,310.29016,329.56,0
2022-04-25 18:00:00-04:00,329.55,329.56,327.4899,329.45,0
2022-04-25 19:00:00-04:00,329.505,329.7,329.33,329.47,0
2022-04-26 04:00:00-04:00,329.48,329.48,327.64,329.12,0
2022-04-26 05:00:00-04:00,329.13,329.56,328.66,329.08,0
2022-04-26 06:00:00-04:00,329.02,329.43,328.3,328.51,0
2022-04-26 07:00:00-04:00,328.48,328.9,327.9,328.64,0
2022-04-26 08:00:00-04:00,328.62,330.88,327.5,328.5,0
2022-04-26 09:00:00-04:00,328.5999,329.58,327.1,327.46,0
2022-04-26 09:30:00-04:00,327.4700012207031,327.6600036621094,320.82000732421875,321.8689880371094,22589806
2022-04-26 10:30:00-04:00,321.8900146484375,322.090087890625,319.25,320.2149963378906,14669063
2022-04-26 11:30:00-04:00,320.20001220703125,322.0,319.04998779296875,321.7355041503906,10812159
2022-04-26 12:30:00-04:00,321.7300109863281,322.30999755859375,318.94000244140625,319.3599853515625,8392837
2022-04-26 13:30:00-04:00,319.3500061035156,321.2300109863281,319.1099853515625,320.8399963378906,9623094
2022-04-26 14:30:00-04:00,320.80999755859375,321.885009765625,318.2099914550781,318.5400085449219,12060491
2022-04-26 15:30:00-04:00,318.5350036621094,319.07000732421875,316.8550109863281,316.8900146484375,15268860
2022-04-26 16:00:00-04:00,316.91,330.68167,311.88,312.22,0
2022-04-26 17:00:00-04:00,312.11,333.59082,312.0,314.49,0
2022-04-26 18:00:00-04:00,314.4,320.9601,313.7,315.88,0
2022-04-26 19:00:00-04:00,315.9,317.0,315.82,316.66,0
2022-04-27 04:00:00-04:00,318.76,321.13,318.76,320.4,0
2022-04-27 05:00:00-04:00,320.47,320.58,319.26,320.14,0
2022-04-27 06:00:00-04:00,320.0,320.52,319.48,319.93,0
2022-04-27 07:00:00-04:00,319.92,320.57,317.12,317.15,0
2022-04-27 08:00:00-04:00,317.11,320.53,316.83,317.66,0
2022-04-27 09:00:00-04:00,317.69,318.2,316.5,317.25,0
2022-04-27 09:30:00-04:00,317.239990234375,322.8800048828125,315.3500061035156,315.7680969238281,30206432
2022-04-27 10:30:00-04:00,315.760009765625,320.19000244140625,315.0,319.2900085449219,17288219
2022-04-27 11:30:00-04:00,319.32000732421875,321.9800109863281,317.6400146484375,321.79730224609375,9056987
2022-04-27 12:30:00-04:00,321.8500061035156,322.2900085449219,318.7300109863281,320.7300109863281,14847098
2022-04-27 13:30:00-04:00,320.7200012207031,321.0,319.1300048828125,319.4049987792969,8652958
2022-04-27 14:30:00-04:00,319.3900146484375,320.635009765625,316.55999755859375,317.3599853515625,13396651
2022-04-27 15:30:00-04:00,317.3500061035156,318.010009765625,316.1099853515625,316.75,10985189
2022-04-27 16:00:00-04:00,316.73,328.9839,313.46408,320.75,0
2022-04-27 17:00:00-04:00,320.75,321.59,316.76,321.49,0
2022-04-27 18:00:00-04:00,321.49,321.5,316.6733,320.655,0
2022-04-27 19:00:00-04:00,320.74,321.15,320.5,320.89,0
2022-04-28 04:00:00-04:00,323.8,324.42,322.06,324.24,0
2022-04-28 05:00:00-04:00,324.28,325.1,323.72,323.88,0
2022-04-28 06:00:00-04:00,323.91,324.23,322.93,323.01,0
2022-04-28 07:00:00-04:00,322.97,324.31,322.77,323.7,0
2022-04-28 08:00:00-04:00,323.68,325.0804,316.997,322.22,0
2022-04-28 09:00:00-04:00,322.22,323.15,316.76,321.82,0
2022-04-28 09:30:00-04:00,321.8500061035156,323.5050048828125,318.260009765625,318.29998779296875,24402855
2022-04-28 10:30:00-04:00,318.2799987792969,321.8789978027344,317.5199890136719,320.9949951171875,10183093
2022-04-28 11:30:00-04:00,321.0,322.94000244140625,319.3800048828125,322.8800048828125,10228562
2022-04-28 12:30:00-04:00,322.91009521484375,327.17999267578125,322.7250061035156,326.6000061035156,11772427
2022-04-28 13:30:00-04:00,326.6099853515625,327.94000244140625,326.04998779296875,327.8949890136719,10624874
2022-04-28 14:30:00-04:00,327.9100036621094,329.8900146484375,327.5050048828125,328.9700012207031,11522421
2022-04-28 15:30:00-04:00,328.9700012207031,329.1000061035156,326.7200012207031,327.92999267578125,10717637
2022-04-28 16:00:00-04:00,327.93,340.2052,309.6682,324.14,0
2022-04-28 17:00:00-04:00,324.31,328.01,318.87,321.3,0
2022-04-28 18:00:00-04:00,321.35,323.6,321.07,322.82,0
2022-04-28 19:00:00-04:00,322.83,323.36,322.49,322.75,0
2022-04-29 04:00:00-04:00,324.51,326.17,324.51,325.69,0
2022-04-29 05:00:00-04:00,325.67,325.67,324.22,324.32,0
2022-04-29 06:00:00-04:00,324.28,324.95,323.96,323.99,0
2022-04-29 07:00:00-04:00,324.0,324.22,323.3,323.91,0
2022-04-29 08:00:00-04:00,323.94,326.5,322.79,324.76,0
2022-04-29 09:00:00-04:00,324.7,328.01,322.52,322.86,0
2022-04-29 09:30:00-04:00,323.70001220703125,327.2250061035156,321.9700012207031,322.2900085449219,21375569
2022-04-29 10:30:00-04:00,322.30999755859375,322.82000732421875,320.4757080078125,321.6199951171875,11584437
2022-04-29 11:30:00-04:00,321.6000061035156,322.8999938964844,319.3399963378906,319.56500244140625,7775765
2022-04-29 12:30:00-04:00,319.55999755859375,319.94000244140625,318.1300048828125,319.1700134277344,7616257
2022-04-29 13:30:00-04:00,319.1600036621094,320.04998779296875,317.010009765625,317.1499938964844,8390133
2022-04-29 14:30:00-04:00,317.1499938964844,317.6099853515625,315.1000061035156,315.1449890136719,13234927
2022-04-29 15:30:00-04:00,315.1549987792969,316.0199890136719,312.6000061035156,313.239990234375,15748476
2022-04-29 16:00:00-04:00,313.24,327.784,294.3174,314.09,0
2022-04-29 17:00:00-04:00,314.02,314.45,313.25,314.25,0
2022-04-29 18:00:00-04:00,314.23,317.7499,313.98,314.23,0
2022-04-29 19:00:00-04:00,314.235,314.59,313.25,314.3,0
2022-05-02 04:00:00-04:00,316.12,316.12,313.25,314.97,0
2022-05-02 05:00:00-04:00,314.94,315.11,313.64,314.65,0
2022-05-02 06:00:00-04:00,314.61,315.05,314.25,314.84,0
2022-05-02 07:00:00-04:00,314.84,315.23,313.46,313.56,0
2022-05-02 08:00:00-04:00,313.53,316.05,311.0,312.16,0
2022-05-02 09:00:00-04:00,312.14,313.75,311.25,312.8396,0
2022-05-02 09:30:00-04:00,313.8999938964844,316.57000732421875,310.5,316.29998779296875,24429165
2022-05-02 10:30:00-04:00,316.30999755859375,317.760009765625,312.57000732421875,313.510009765625,16491504
2022-05-02 11:30:00-04:00,313.4800109863281,315.6199951171875,312.3900146484375,314.6600036621094,11675588
2022-05-02 12:30:00-04:00,314.67999267578125,315.3699951171875,311.2699890136719,311.7550048828125,14409630
2022-05-02 13:30:00-04:00,311.7300109863281,312.69000244140625,310.0,310.5199890136719,11665582
2022-05-02 14:30:00-04:00,310.5050048828125,316.6300048828125,309.6449890136719,315.94000244140625,16191613
2022-05-02 15:30:00-04:00,315.8800048828125,318.7200012207031,315.70001220703125,318.45001220703125,14701750
2022-05-02 16:00:00-04:00,318.45,318.77,313.1414,317.99,0
2022-05-02 17:00:00-04:00,317.95,324.6076,301.91785,318.0,0
2022-05-02 18:00:00-04:00,318.03,318.48,310.66,317.59,0
2022-05-02 19:00:00-04:00,317.6,318.19,317.59,318.03,0
2022-05-03 04:00:00-04:00,319.0,319.89,318.17,318.86,0
2022-05-03 05:00:00-04:00,318.85,318.95,318.09,318.28,0
2022-05-03 06:00:00-04:00,318.24,318.9,317.3,317.46,0
2022-05-03 07:00:00-04:00,317.45,317.65,316.81,317.62,0
2022-05-03 08:00:00-04:00,317.59,320.45,316.83,318.74,0
2022-05-03 09:00:00-04:00,318.74,319.62,318.29,318.52,0
2022-05-03 09:30:00-04:00,318.5,320.42999267578125,315.989990234375,318.42999267578125,21824166
2022-05-03 10:30:00-04:00,318.5,320.239990234375,316.1600036621094,319.4198913574219,11718373
2022-05-03 11:30:00-04:00,319.45001220703125,320.2099914550781,317.3599853515625,318.0887145996094,7898710
2022-05-03 12:30:00-04:00,318.05999755859375,320.7699890136719,317.55999755859375,319.92999267578125,7972777
2022-05-03 13:30:00-04:00,319.9700012207031,321.1700134277344,317.44000244140625,317.5719909667969,8187099
2022-05-03 14:30:00-04:00,317.59161376953125,320.0799865722656,316.6199951171875,318.8900146484375,9607298
2022-05-03 15:30:00-04:00,318.8699951171875,319.5,317.19000244140625,318.9100036621094,7561012
2022-05-03 16:00:00-04:00,318.92,320.31,318.73,319.65,0
2022-05-03 17:00:00-04:00,319.73,319.9,305.38562,319.75,0
2022-05-03 18:00:00-04:00,319.71,324.96512,301.69968,319.42,0
2022-05-03 19:00:00-04:00,319.42,319.81,319.25,319.6,0
2022-05-04 04:00:00-04:00,319.65,320.0,319.42,319.86,0
2022-05-04 05:00:00-04:00,319.86,319.87,318.96,319.41,0
2022-05-04 06:00:00-04:00,319.41,319.91,319.3,319.58,0
2022-05-04 07:00:00-04:00,319.6,320.44,319.6,320.37,0
2022-05-04 08:00:00-04:00,320.38,320.43,319.0488,319.76,0
2022-05-04 09:00:00-04:00,319.74,319.8,318.82,319.295,0
2022-05-04 09:30:00-04:00,319.30999755859375,319.4700012207031,315.05999755859375,315.80999755859375,13847523
2022-05-04 10:30:00-04:00,315.8500061035156,316.29998779296875,314.0,314.51348876953125,8204756
2022-05-04 11:30:00-04:00,314.5199890136719,318.239990234375,313.8909912109375,318.1499938964844,8088508
2022-05-04 12:30:00-04:00,318.1499938964844,319.8800048828125,317.7799987792969,319.1000061035156,8027160
2022-05-04 13:30:00-04:00,319.0899963378906,322.3599853515625,317.0899963378906,319.8599853515625,22665743
2022-05-04 14:30:00-04:00,319.79998779296875,328.1700134277344,315.25,328.04998779296875,35512585
2022-05-04 15:30:00-04:00,328.04998779296875,330.2900085449219,327.9410095214844,329.75,14895890
2022-05-04 16:00:00-04:00,329.72,329.75,318.8703,328.84,0
2022-05-04 17:00:00-04:00,328.8,329.6,312.36734,329.3,0
